"stream","date","time","count","run","adipose_clipped","sex","passage_direction","viewing_condition","spawning_condition","jack_size","method"
"clear creek","2012-12-28","21:00:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","21:29:00",1,"not recorded",FALSE,"female","up",NA,NA,"yes","video"
"clear creek","2012-12-28","21:34:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","21:49:00",1,"not recorded",NA,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-28","22:22:00",1,"not recorded",FALSE,"female","up",NA,NA,"no","video"
"clear creek","2012-12-28","22:31:00",1,"not recorded",FALSE,"female","up",NA,NA,"yes","video"
"clear creek","2012-12-28","23:54:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","23:54:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","23:44:00",1,"not recorded",FALSE,"female","up",NA,NA,"yes","video"
"clear creek","2012-12-28","00:02:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","01:41:00",1,"not recorded",FALSE,"female","down",NA,NA,"no","video"
"clear creek","2012-12-28","01:41:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","01:43:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","01:46:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","01:46:00",1,"not recorded",FALSE,"female","down",NA,NA,"no","video"
"clear creek","2012-12-28","01:48:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","01:53:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:03:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:06:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:08:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:17:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:21:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:27:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:30:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","02:33:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-28","03:47:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-28","03:53:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-28","05:07:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","05:41:00",1,"not recorded",NA,"female","down",NA,NA,"no","video"
"clear creek","2012-12-28","06:13:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","06:37:00",1,"not recorded",NA,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","07:31:00",1,"not recorded",FALSE,"female","down",NA,NA,"yes","video"
"clear creek","2012-12-28","07:42:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","08:18:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","12:12:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","13:39:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","14:43:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","14:47:00",1,"not recorded",FALSE,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","16:07:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","16:28:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-28","19:50:00",1,"not recorded",FALSE,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","20:56:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","21:35:00",1,"not recorded",NA,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","21:40:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","21:59:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-28","22:29:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","22:33:00",1,"not recorded",FALSE,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-28","23:17:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-28","23:07:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-28","23:32:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-29","00:07:00",1,"not recorded",NA,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-29","00:48:00",1,"not recorded",NA,"unknown","up",NA,NA,"yes","video"
"clear creek","2012-12-29","02:23:00",1,"not recorded",NA,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","03:01:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","05:24:00",1,"not recorded",NA,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","05:42:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-29","05:52:00",1,"not recorded",NA,"unknown","up",NA,NA,"yes","video"
"clear creek","2012-12-29","05:59:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","06:02:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","06:06:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","06:12:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","06:14:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-29","06:28:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","06:49:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","06:57:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-29","07:00:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","07:04:00",1,"not recorded",NA,"unknown","up",NA,NA,"yes","video"
"clear creek","2012-12-29","07:10:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","07:31:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
