date,redd_id,reach,fish_on_redd,age,run,redd_measured,redd_width,redd_length,pre_redd_depth,redd_pit_depth,redd_tail_depth,pre_redd_substrate_class,redd_substrate_class,tail_substrate_class,velocity
2013-09-30,2013_1143,R1,NA,3,spring,TRUE,0.9144018288036576,3.835407670815342,0.38100076200152405,0.5334010668021336,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1143,R1,NA,3,spring,TRUE,0.9144018288036576,3.835407670815342,0.38100076200152405,0.5334010668021336,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1145,R1,NA,2,spring,TRUE,2.2098044196088393,4.826009652019304,0.43180086360172726,0.5842011684023368,0.2286004572009144,very fine gravel,very coarse sand,very coarse sand,NA
2013-09-30,2013_1147,R1,NA,2,spring,TRUE,2.667005334010668,5.2832105664211335,0.5842011684023368,0.5842011684023368,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1150,R1,NA,2,spring,TRUE,2.921005842011684,3.7338074676149353,0.5588011176022353,0.7112014224028449,0.43180086360172726,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1153,R1,NA,2,spring,TRUE,2.921005842011684,3.1496062992125986,0.5334010668021336,0.6096012192024385,0.33020066040132084,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1154,R1,NA,2,spring,TRUE,2.717805435610871,3.2004064008128017,0.4572009144018288,0.4826009652019304,0.33020066040132084,very fine gravel,very coarse sand,very coarse sand,NA
2013-09-30,2013_1155,R1,NA,2,spring,TRUE,2.667005334010668,5.537211074422149,0.6858013716027432,0.9398018796037593,0.6858013716027432,very coarse sand,very fine gravel,very coarse sand,NA
2013-09-17,2013_1156,R1,NA,2,spring,TRUE,0.7874015748031497,2.0320040640081283,0.27940055880111764,0.43180086360172726,0.2286004572009144,very coarse sand,very fine gravel,very coarse sand,NA
2013-09-17,2013_1156,R1,NA,2,spring,TRUE,0.7874015748031497,2.0320040640081283,0.27940055880111764,0.43180086360172726,0.2286004572009144,very coarse sand,very fine gravel,very coarse sand,NA
2013-09-30,2013_1156,R1,NA,2,spring,TRUE,0.7874015748031497,2.0320040640081283,0.27940055880111764,0.43180086360172726,0.2286004572009144,very coarse sand,very fine gravel,very coarse sand,NA
2013-10-29,2013_1156,R1,NA,4,spring,TRUE,0.7874015748031497,2.0320040640081283,0.27940055880111764,0.43180086360172726,0.2286004572009144,very coarse sand,very fine gravel,very coarse sand,NA
2013-09-30,2013_1158,R1,NA,2,spring,TRUE,2.794005588011176,4.165608331216663,0.63500127000254,0.7112014224028449,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1160,R1,NA,2,spring,TRUE,2.8448056896113796,5.334010668021336,0.63500127000254,0.7112014224028449,0.43180086360172726,very fine gravel,very coarse sand,very coarse sand,NA
2013-09-30,2013_1161,R1,NA,2,spring,TRUE,1.397002794005588,2.108204216408433,0.25400050800101603,0.38100076200152405,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1162,R1,NA,2,spring,TRUE,2.54000508001016,4.546609093218187,0.38100076200152405,0.6858013716027432,0.4572009144018288,very coarse sand,very coarse sand,very coarse sand,NA
