date,reach
2013-06-17,R1
2013-06-18,R3
2013-06-19,R5ABC
2013-06-19,R4
2013-06-20,R6B
2013-06-20,R7
2013-06-20,R6A
2013-07-01,R1
2013-07-02,R6A
2013-07-02,R3
2013-07-02,R2
2013-07-03,R6B
2013-07-03,R7
2013-07-03,R5ABC
2013-07-03,R4
2013-08-19,R5AB
2013-08-19,R2
2013-08-19,R1
2013-08-20,R3
2013-08-22,R4
2013-08-22,R5ABC
2013-08-23,R6A
2013-08-26,R6B
2013-08-26,R7
2013-09-03,R2
2013-09-03,R1
2013-09-04,R3
2013-09-05,R6A
2013-09-05,R4
2013-09-05,R5ABC
2013-09-06,R6B
2013-09-06,R7
2013-09-17,R2
2013-09-17,R1
2013-09-18,R4
2013-09-18,R3
2013-09-19,R6
2013-09-19,R5ABC
2013-09-30,R2
2013-09-30,R1
2013-10-18,R4
2013-10-18,R3
2013-10-19,R5ABC
2013-10-29,R1
2013-10-30,R2
2013-10-31,R4
2013-10-31,R5ABC
2013-10-31,R3
2014-06-16,R1
2014-06-17,R2
2014-06-18,R4
2014-06-18,R5ABC
2014-06-18,R3
2014-06-19,R6A
2014-06-20,R6B
2014-06-29,R2
2014-06-29,R1
2014-06-30,R4
2014-06-30,R5ABC
2014-06-30,R3
2014-07-01,R7
2014-07-01,R6A
2014-08-18,R2
2014-08-18,R1
2014-08-19,R3
2014-08-21,R6A
2014-08-21,R4
2014-08-21,R5ABC
2014-08-22,R6B
2014-09-16,R1
2014-09-17,R2
2014-09-18,R4
2014-09-18,R5ABC
2014-09-18,R3
2014-09-19,R6
2014-09-30,R1
2014-10-01,R2
2014-10-02,R3
2014-10-03,R5ABC
2014-10-03,R4
2014-10-14,R1
2014-10-15,R2
2014-10-16,R4
2014-10-16,R3
2014-10-17,R5ABC
2014-10-27,R1
2014-10-28,R2
2014-10-29,R3
2014-10-30,R4
2014-10-30,R5AB
2014-10-31,R5C
2015-05-11,R2
2015-05-11,R1
2015-05-12,R3
2015-05-13,R4
2015-05-13,R5
2015-05-14,R6A
2015-05-15,R6B
2015-05-27,R2
2015-05-27,R1
2015-05-28,R6A
2015-05-28,R4
2015-05-28,R5
2015-05-29,R6B
2015-05-29,R3
2015-06-08,R1
2015-06-09,R2
2015-06-10,R3
2015-06-11,R6A
2015-06-12,R4
2015-06-12,R5
2015-06-13,R6B
2015-06-22,R1
2015-06-22,R2
2015-06-23,R3
2015-06-24,R4
2015-06-25,R6A
2015-06-26,R6B
2015-08-18,R2
2015-08-18,R1
2015-08-19,R3
2015-08-20,R6A
2015-08-20,R4
2015-08-20,R5
2015-08-21,R6
2015-08-21,R7
2015-09-14,R1
2015-09-15,R2
2015-09-16,R3
2015-09-17,R6A
2015-09-17,R4
2015-09-17,R5
2015-09-18,R6B
2015-09-29,R1
2015-09-30,R3
2015-09-30,R2
2015-10-01,R4
2015-10-01,R5
2015-10-13,R1
2015-10-14,R2
2015-10-16,R3
2015-10-19,R4
2015-10-19,R5
2015-10-27,R2
2015-10-27,R1
2015-10-28,R3
2015-10-29,R4
2015-10-29,R5
2016-05-18,R2
2016-05-18,R1
2016-05-19,R4
2016-05-19,R5
2016-05-19,R3
2016-05-20,R6
2016-05-20,R7
2016-05-20,R6A
2016-05-31,R2
2016-05-31,R1
2016-06-01,R4
2016-06-01,R5
2016-06-01,R3
2016-06-02,R6A
2016-06-03,R6B
2016-06-13,R2
2016-06-13,R1
2016-06-14,R3
2016-06-15,R4
2016-06-15,R5
2016-06-16,R6A
2016-06-17,R6B
2016-06-28,R2
2016-06-28,R1
